"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Cao R.; Bao L.; Zhao K.; Zhangsun P.","Cao, Rong (57226559865); Bao, Liang (36768196100); Zhao, Kaibi (58786641300); Zhangsun, Panpan (58172653000)","57226559865; 36768196100; 58786641300; 58172653000","ETune: Efficient configuration tuning for big-data software systems via configuration space reduction","2024","Journal of Systems and Software","209","","111936","","","","0","10.1016/j.jss.2023.111936","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85181014377&doi=10.1016%2fj.jss.2023.111936&partnerID=40&md5=7bc713f34d3595ce08baa7e4051d8008","Article","Final","","Scopus","2-s2.0-85181014377"
"Brownlee A.E.I.; Epitropakis M.G.; Mulder J.; Paelinck M.; Burke E.K.","Brownlee, Alexander E. I. (19638592200); Epitropakis, Michael G. (23974364200); Mulder, Jeroen (15837390100); Paelinck, Marc (26635773300); Burke, Edmund K. (7202857377)","19638592200; 23974364200; 15837390100; 26635773300; 7202857377","A systematic approach to parameter optimization and its application to flight schedule simulation software","2022","Journal of Heuristics","28","4","","509","538","29","2","10.1007/s10732-022-09501-8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85133428509&doi=10.1007%2fs10732-022-09501-8&partnerID=40&md5=07800f086ba78a4cf8ebe6ebb4baacbe","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85133428509"
"Somashekar G.; Kumar R.","Somashekar, Gagan (57213267316); Kumar, Rajat (58188873600)","57213267316; 58188873600","Enhancing the Configuration Tuning Pipeline of Large-Scale Distributed Applications Using Large Language Models (Idea Paper)","2023","ICPE 2023 - Companion of the 2023 ACM/SPEC International Conference on Performance Engineering","","","","39","44","5","4","10.1145/3578245.3585032","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85158859428&doi=10.1145%2f3578245.3585032&partnerID=40&md5=df78987a01149871fe9a149f2c8053df","Conference paper","Final","","Scopus","2-s2.0-85158859428"
"Cortellessa V.; Di Pompeo D.","Cortellessa, Vittorio (6603764364); Di Pompeo, Daniele (57188727238)","6603764364; 57188727238","Analyzing the sensitivity of multi-objective software architecture refactoring to configuration characteristics","2021","Information and Software Technology","135","","106568","","","","11","10.1016/j.infsof.2021.106568","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102969874&doi=10.1016%2fj.infsof.2021.106568&partnerID=40&md5=80bfad092ec3fd1be7331fa228bf0ed0","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85102969874"
"Hutter E.; Solomonik E.","Hutter, Edward (57195551768); Solomonik, Edgar (6507565755)","57195551768; 6507565755","Application Performance Modeling via Tensor Completion","2023","Proceedings of the International Conference for High Performance Computing, Networking, Storage and Analysis, SC 2023","","","65","","","","1","10.1145/3581784.3607069","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85179546415&doi=10.1145%2f3581784.3607069&partnerID=40&md5=290a2aa4b46c5397df219b6fb3bf6e27","Conference paper","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85179546415"
"Alkandari M.A.; Kelkawi A.; Elish M.O.","Alkandari, Mohammad A. (57220334283); Kelkawi, Ali (57195365035); Elish, Mahmoud O. (55881992600)","57220334283; 57195365035; 55881992600","An Empirical Investigation on the Effect of Code Smells on Resource Usage of Android Mobile Applications","2021","IEEE Access","9","","9410530","61853","61863","10","4","10.1109/ACCESS.2021.3075040","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85104572199&doi=10.1109%2fACCESS.2021.3075040&partnerID=40&md5=d24e4568c0a9ab0b9e5eca21f8d08e0e","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85104572199"
"Ahmad A.A.; Noor A.R.; Sharif H.; Hameed U.; Asif S.; Anwar M.; Gehani A.; Zaffar F.; Siddiqui J.H.","Ahmad, Aatira Anum (57912852000); Noor, Abdul Rafae (57786365700); Sharif, Hashim (57193139203); Hameed, Usama (57913501200); Asif, Shoaib (57912852100); Anwar, Mubashir (57912635400); Gehani, Ashish (15768729100); Zaffar, Fareed (15770538900); Siddiqui, Junaid Haroon (26968037000)","57912852000; 57786365700; 57193139203; 57913501200; 57912852100; 57912635400; 15768729100; 15770538900; 26968037000","Trimmer: An Automated System for Configuration-Based Software Debloating","2022","IEEE Transactions on Software Engineering","48","9","","3485","3505","20","5","10.1109/TSE.2021.3095716","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139125051&doi=10.1109%2fTSE.2021.3095716&partnerID=40&md5=64846dc7deb80e95c9086d4606bf8084","Article","Final","","Scopus","2-s2.0-85139125051"
"Hutter E.; Solomonik E.","Hutter, Edward (57195551768); Solomonik, Edgar (6507565755)","57195551768; 6507565755","Application Performance Modeling via Tensor Completion","2023","International Conference for High Performance Computing, Networking, Storage and Analysis, SC","","","","","","","0","10.1145/3581784.3607069","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85190443646&doi=10.1145%2f3581784.3607069&partnerID=40&md5=6ed8bbba063d594f2e6c73c076d29b21","Conference paper","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85190443646"
"Saborido R.; Ferrer J.; Chicano F.","Saborido, Rubén (56235977700); Ferrer, Javier (7202496933); Chicano, Francisco (19638250500)","56235977700; 7202496933; 19638250500","A Novel Formulation of the Software Cognitive Complexity Reduction Problem","2022","26th Jornadas de Ingenieria del Software y Bases de Datos, JISBD 2022","","","","","","","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85177865255&partnerID=40&md5=5c7d3b0d6b581f2b552e1d4a0552ea72","Conference paper","Final","","Scopus","2-s2.0-85177865255"
"Cheema S.; Khan G.N.","Cheema, Sunbal (57221330236); Khan, Gul N. (55876533600)","57221330236; 55876533600","GPU Auto-tuning Framework for Optimal Performance and Power Consumption","2023","ACM International Conference Proceeding Series","","","","1","6","5","1","10.1145/3589236.3589241","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163834542&doi=10.1145%2f3589236.3589241&partnerID=40&md5=e3ef7b43789e054e599c9e84a3f143ec","Conference paper","Final","","Scopus","2-s2.0-85163834542"
